Data de vencimento,Número,Nome,Valor,Saldo,Situação,Liquidação,Data,Tipo,Descrição,Descrição - Portador,Nome - Vendedor,Data de vencimento original
12/2024,034482/02,G & S HOME SOLUTIONS,"4.434,00","4.434,00",Em aberto,00/00/0000,17/10/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,14/12/2024
12/2024,6111/3,BR24 SERVICES,"585,83","585,83",Em aberto,00/00/0000,17/10/2024,-,BR24,Sicredi,-,30/12/2024
12/2024,6123/3,PANDA VIDEO,"60,5","60,5",Em aberto,00/00/0000,17/10/2024,-,PANDA VIDEO,Sicredi,-,30/12/2024
12/2024,017651/02,NANO4YOU BRASIL NANOTECNOLOGIA SA,"2.371,05","2.371,05",Em aberto,00/00/0000,23/10/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,20/12/2024
12/2024,235765/03,SPARTAN DO BRASIL PRODUTOS QUIMICOS LTDA,"512,23","512,23",Em aberto,00/00/0000,23/10/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,03/12/2024
12/2024,235765/04,SPARTAN DO BRASIL PRODUTOS QUIMICOS LTDA,"512,23","512,23",Em aberto,00/00/0000,23/10/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,10/12/2024
12/2024,235765/05,SPARTAN DO BRASIL PRODUTOS QUIMICOS LTDA,"512,23","512,23",Em aberto,00/00/0000,23/10/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,17/12/2024
12/2024,235838/03,SPARTAN DO BRASIL PRODUTOS QUIMICOS LTDA,"2.189,10","2.189,10",Em aberto,00/00/0000,23/10/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,04/12/2024
12/2024,235838/04,SPARTAN DO BRASIL PRODUTOS QUIMICOS LTDA,"2.189,10","2.189,10",Em aberto,00/00/0000,23/10/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,11/12/2024
12/2024,235838/05,SPARTAN DO BRASIL PRODUTOS QUIMICOS LTDA,"2.189,10","2.189,10",Em aberto,00/00/0000,23/10/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,18/12/2024
12/2024,113564/01,I.P. CLEANING INDUSTRIA E COMERCIO LTDA,"7.664,04","7.664,04",Em aberto,00/00/0000,23/10/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,11/12/2024
12/2024,419235/02,FRESNOMAQ INDUSTRIA DE MAQUINAS SA,"2.301,75","2.301,75",Em aberto,00/00/0000,24/10/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,16/12/2024
12/2024,65500/2,Castilho Guarulhos Com Equip Eletr Ltda,"294,32","294,32",Em aberto,00/00/0000,23/10/2024,-,Limpeza e manutenção,Itaú,-,30/12/2024
12/2024,017744/02,NANO4YOU BRASIL NANOTECNOLOGIA SA,"9.285,74","9.285,74",Em aberto,00/00/0000,25/10/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,22/12/2024
12/2024,017740/02,NANO4YOU BRASIL NANOTECNOLOGIA SA,"287,89","287,89",Em aberto,00/00/0000,25/10/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,22/12/2024
12/2024,002537/02,SUNGUIDER COMERCIO IMPORTACAO E EXPORTACAO LTDA,"534,67","534,67",Em aberto,00/00/0000,25/10/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,21/12/2024
12/2024,35751341/3,Fundação de Apoio à Universidade de São Paulo - USP,"564,55","564,55",Em aberto,00/00/0000,25/10/2024,-,Treinamento e Aperfeiçoamento,Itaú,-,31/12/2024
12/2024,13/66/3,PRONAMPE,"3.934,12","3.934,12",Em aberto,00/00/0000,27/10/2024,-,Financiamento/capital de giro,Sicredi,-,27/12/2024
12/2024,034717/02,G & S HOME SOLUTIONS,"7.737,33","7.737,33",Em aberto,00/00/0000,28/10/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,22/12/2024
12/2024,017897/02,NANO4YOU BRASIL NANOTECNOLOGIA SA,"1.086,30","1.086,30",Em aberto,00/00/0000,29/10/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,28/12/2024
12/2024,037977/02,EasyTech Shield Brasil LTDA,"5.942,39","5.942,39",Em aberto,00/00/0000,30/10/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,09/12/2024
12/2024,037977/03,EasyTech Shield Brasil LTDA,"5.942,39","5.942,39",Em aberto,00/00/0000,30/10/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,23/12/2024
12/2024,393884/01,BRALIMPIA IND COM DE EQ P LIMP LTDA,"844,33","844,33",Em aberto,00/00/0000,30/10/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,03/12/2024
12/2024,393884/02,BRALIMPIA IND COM DE EQ P LIMP LTDA,"844,33","844,33",Em aberto,00/00/0000,30/10/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,17/12/2024
12/2024,331670/02,CHIAPERINI INDUSTRIAL LTDA,"1.177,00","1.177,00",Em aberto,00/00/0000,31/10/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,26/12/2024
12/2024,081725/01,NOVA RENKO INDUSTRIAL LTDA,"1.705,40","1.705,40",Em aberto,00/00/0000,31/10/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,03/12/2024
12/2024,081725/02,NOVA RENKO INDUSTRIAL LTDA,"1.526,01","1.526,01",Em aberto,00/00/0000,31/10/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,17/12/2024
12/2024,103611/02,EVC INDUSTRIAL LTDA,"1.083,98","1.083,98",Em aberto,00/00/0000,31/10/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,03/12/2024
